Fetching supported pairs from Indodax...
Found 485 pairs:
Ticker ID       | Description          | Base Currency | Traded Currency
jup_idr         | JUP/IDR              | idr        | jup       
jst_idr         | JST/IDR              | idr        | jst       
jto_idr         | JTO/IDR              | idr        | jto       
kaia_idr        | KAIA/IDR             | idr        | kaia      
kaito_idr       | KAITO/IDR            | idr        | kaito     
kdag_idr        | KDAG/IDR             | idr        | kdag      
kernel_idr      | KERNEL/IDR           | idr        | kernel    
kmno_idr        | KMNO/IDR             | idr        | kmno      
knc_idr         | KNC/IDR              | idr        | knc       
koma_idr        | KOMA/IDR             | idr        | koma      
krd_idr         | KRD/IDR              | idr        | krd       
ksm_idr         | KSM/IDR              | idr        | ksm       
kta_idr         | KTA/IDR              | idr        | kta       
kunci_idr       | KUNCI/IDR            | idr        | kunci     
labubu_idr      | LABUBU/IDR           | idr        | labubu    
ldo_idr         | LDO/IDR              | idr        | ldo       
leo_idr         | LEO/IDR              | idr        | leo       
link_idr        | LINK/IDR             | idr        | link      
lista_idr       | LISTA/IDR            | idr        | lista     
l3_idr          | L3/IDR               | idr        | l3        
ladys_idr       | LADYS/IDR            | idr        | ladys     
lsk_idr         | LSK/IDR              | idr        | lsk       
looks_idr       | LOOKS/IDR            | idr        | looks     
loom_idr        | LOOM/IDR             | idr        | loom      
lpt_idr         | LPT/IDR              | idr        | lpt       
lqty_idr        | LQTY/IDR             | idr        | lqty      
lrc_idr         | LRC/IDR              | idr        | lrc       
ltc_idr         | LTC/IDR              | idr        | ltc       
luna_idr        | LUNA/IDR             | idr        | luna      
lunc_idr        | LUNC/IDR             | idr        | lunc      
lyfel_idr       | LYFE/IDR             | idr        | lyfel     
magic_idr       | MAGIC/IDR            | idr        | magic     
mana_idr        | MANA/IDR             | idr        | mana      
mask_idr        | MASK/IDR             | idr        | mask      
mav_idr         | MAV/IDR              | idr        | mav       
mavia_idr       | MAVIA/IDR            | idr        | mavia     
mbox_idr        | MBOX/IDR             | idr        | mbox      
mct_idr         | MCT/IDR              | idr        | mct       
me_idr          | ME/IDR               | idr        | me        
melania_idr     | MELANIA/IDR          | idr        | melania   
meme_idr        | MEME/IDR             | idr        | meme      
meta_idr        | META/IDR             | idr        | meta      
metis_idr       | METIS/IDR            | idr        | metis     
mew_idr         | MEW/IDR              | idr        | mew       
milk_idr        | MILK/IDR             | idr        | milk      
mito_idr        | MITO/IDR             | idr        | mito      
mnt_idr         | MNT/IDR              | idr        | mnt       
moca_idr        | MOCA/IDR             | idr        | moca      
mog_idr         | MOG/IDR              | idr        | mog       
moodeng_idr     | MOODENG/IDR          | idr        | moodeng   
moonpig_idr     | MOONPIG/IDR          | idr        | moonpig   
morpho_idr      | MORPHO/IDR           | idr        | morpho    
